,Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,DP05_0001E,S1701_C02_001E,S1501_C01_004E
0,07/06/2020-07/13/2023,77002,136,16,13,3879,521,202
1,07/06/2020-07/13/2024,77003,112,6,18,2727,626,61
2,07/06/2020-07/13/2025,77004,75,3,40,2704,635,281
3,07/06/2020-07/13/2026,77005,45,29,13,4271,159,60
4,07/06/2020-07/13/2027,77006,50,24,15,2564,242,112
5,07/06/2020-07/13/2028,77007,102,6,9,3815,212,69
6,07/06/2020-07/13/2029,77008,145,32,20,3743,233,57
7,07/06/2020-07/13/2030,77009,146,9,29,4139,533,75
8,07/06/2020-07/13/2031,77010,144,10,0,5256,686,293
9,07/06/2020-07/13/2032,77011,143,15,32,3868,842,207
10,07/06/2020-07/13/2033,77012,95,27,35,3607,831,146
11,07/06/2020-07/13/2034,77013,316,21,52,4119,1138,202
12,07/06/2020-07/13/2035,77014,95,14,49,5536,1292,234
13,07/06/2020-07/13/2036,77015,316,18,38,4342,783,238
14,07/06/2020-07/13/2037,77016,87,10,42,3762,960,177
15,07/06/2020-07/13/2038,77017,83,20,38,3758,921,145
16,07/06/2020-07/13/2039,77018,145,8,27,3682,341,67
17,07/06/2020-07/13/2040,77019,73,0,0,3292,348,61
18,07/06/2020-07/13/2041,77020,146,16,43,3517,964,116
19,07/06/2020-07/13/2042,77021,82,10,40,2799,812,130
20,07/06/2020-07/13/2043,77022,146,3,33,3286,900,151
21,07/06/2020-07/13/2044,77023,89,11,34,4024,806,185
22,07/06/2020-07/13/2045,77024,87,14,12,4160,263,65
23,07/06/2020-07/13/2046,77025,109,15,21,3360,377,76
24,07/06/2020-07/13/2047,77026,147,7,39,2576,812,96
25,07/06/2020-07/13/2048,77027,55,23,0,2576,183,51
26,07/06/2020-07/13/2049,77028,171,15,46,4598,1414,153
27,07/06/2020-07/13/2050,77029,150,9,27,3034,553,186
28,07/06/2020-07/13/2051,77030,48,2,0,2597,245,85
29,07/06/2020-07/13/2052,77031,107,1,41,3290,918,132
30,07/06/2020-07/13/2053,77032,558,0,11,3896,1108,140
31,07/06/2020-07/13/2054,77033,95,9,40,4235,1477,105
32,07/06/2020-07/13/2055,77034,45,38,42,4158,814,191
33,07/06/2020-07/13/2056,77035,105,11,36,3849,900,149
34,07/06/2020-07/13/2057,77036,91,11,37,3449,887,71
35,07/06/2020-07/13/2058,77037,144,34,34,4048,1097,142
36,07/06/2020-07/13/2059,77038,204,19,44,6268,1360,180
37,07/06/2020-07/13/2060,77039,488,15,42,4979,1360,194
38,07/06/2020-07/13/2061,77040,95,22,38,4496,796,203
39,07/06/2020-07/13/2062,77041,135,14,21,5541,441,229
40,07/06/2020-07/13/2063,77042,194,24,37,3178,640,130
41,07/06/2020-07/13/2064,77043,131,6,29,5141,749,131
42,07/06/2020-07/13/2065,77045,49,11,32,5524,1174,242
43,07/06/2020-07/13/2066,77046,45,4,0,2149,253,65
44,07/06/2020-07/13/2067,77047,48,15,39,7796,654,308
45,07/06/2020-07/13/2068,77048,115,13,40,4111,1177,153
46,07/06/2020-07/13/2069,77049,316,6,43,5814,885,348
47,07/06/2020-07/13/2070,77050,750,0,53,4907,1792,98
48,07/06/2020-07/13/2071,77051,48,6,49,4477,1604,246
49,07/06/2020-07/13/2072,77053,81,10,35,3582,553,139
50,07/06/2020-07/13/2073,77054,48,11,28,3636,732,230
51,07/06/2020-07/13/2074,77055,145,16,34,3409,630,82
52,07/06/2020-07/13/2075,77056,60,5,0,2519,196,76
53,07/06/2020-07/13/2076,77057,120,14,32,2854,465,78
54,07/06/2020-07/13/2077,77059,69,1,14,6560,365,231
55,07/06/2020-07/13/2078,77060,111,22,52,3756,1321,103
56,07/06/2020-07/13/2079,77061,80,3,46,3211,605,139
57,07/06/2020-07/13/2080,77062,69,44,28,4008,396,163
58,07/06/2020-07/13/2081,77063,157,10,38,3361,576,161
59,07/06/2020-07/13/2082,77064,595,18,36,5124,569,209
60,07/06/2020-07/13/2083,77067,163,2,50,4567,998,173
61,07/06/2020-07/13/2084,77070,598,23,43,5729,644,156
62,07/06/2020-07/13/2085,77071,112,10,35,4810,676,205
63,07/06/2020-07/13/2086,77072,178,16,39,4512,1053,164
64,07/06/2020-07/13/2087,77074,98,11,38,3863,973,134
65,07/06/2020-07/13/2088,77075,69,11,41,4851,614,194
66,07/06/2020-07/13/2089,77076,146,11,44,4993,1510,208
67,07/06/2020-07/13/2090,77077,465,12,30,3582,426,98
68,07/06/2020-07/13/2091,77078,67,5,39,5592,1896,106
69,07/06/2020-07/13/2092,77079,203,43,23,4266,436,98
70,07/06/2020-07/13/2093,77080,106,17,41,3755,891,73
71,07/06/2020-07/13/2094,77081,112,8,47,3498,1136,95
72,07/06/2020-07/13/2095,77082,192,18,31,4396,884,224
73,07/06/2020-07/13/2096,77083,208,25,31,2627,427,101
74,07/06/2020-07/13/2097,77084,206,15,34,5249,569,209
75,07/06/2020-07/13/2098,77085,54,14,30,5951,817,273
76,07/06/2020-07/13/2099,77087,83,16,37,4454,1012,144
77,07/06/2020-07/13/2100,77088,96,13,42,4995,966,155
78,07/06/2020-07/13/2101,77089,87,19,37,5612,630,311
79,07/06/2020-07/13/2102,77090,154,20,51,3742,659,189
80,07/06/2020-07/13/2103,77091,101,29,48,4224,1214,117
81,07/06/2020-07/13/2104,77092,114,9,33,3758,850,142
82,07/06/2020-07/13/2105,77093,146,13,43,3948,1420,103
83,07/06/2020-07/13/2106,77094,389,0,20,3859,344,57
84,07/06/2020-07/13/2107,77096,112,16,26,2668,396,72
85,07/06/2020-07/13/2108,77098,45,27,0,2335,169,69
86,07/06/2020-07/13/2109,77099,145,13,36,3961,1031,149
87,07/06/2020-07/13/2110,77336,525,30,51,4669,650,167
88,07/06/2020-07/13/2111,77338,597,4,44,6858,983,189
89,07/06/2020-07/13/2112,77339,155,43,38,4153,410,117
90,07/06/2020-07/13/2113,77345,305,9,32,4599,117,79
91,07/06/2020-07/13/2114,77346,305,14,34,7015,262,138
92,07/06/2020-07/13/2115,77365,341,10,99,247,2,8
93,07/06/2020-07/13/2116,77396,598,4,44,6088,559,135
94,07/06/2020-07/13/2117,77401,112,23,5,4693,98,25
95,07/06/2020-07/13/2118,77477,83,1,99,581,78,26
96,07/06/2020-07/13/2119,77489,110,5,97,133,11,6
97,07/06/2020-07/13/2120,77502,83,28,40,5688,1252,206
98,07/06/2020-07/13/2121,77504,28,0,47,4480,888,238
99,07/06/2020-07/13/2122,77532,557,8,46,6098,337,237
100,07/06/2020-07/13/2123,77598,69,0,48,3756,510,203
